model,n,n_pos,n_neg,AUROC,AUPRC
EffNetB0,5939,348,5591,0.900091382496911,0.4336000400049763
TCSNet,5939,348,5591,0.9127764860191975,0.5650513664735541
VIPEEGNet,5939,348,5591,0.9455225660287366,0.6670053168866424
