threshold,TP,FP,FN,TN,sensitivity,specificity,FPR,precision,NPV,F1,F2,Youden_J,NNR,FP_per_100_neg
0.9430000000000001,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.9420000000000001,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.9410000000000001,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.9400000000000001,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.9390000000000001,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.9380000000000001,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.937,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.936,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.935,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.934,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.933,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.932,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.931,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.93,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.929,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.928,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.927,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.926,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.925,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.924,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.923,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.922,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.921,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.92,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.919,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.918,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.917,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.916,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.915,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.914,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.913,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.912,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.911,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.91,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.909,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.908,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.907,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.906,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.905,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.904,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.903,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.902,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.901,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.9,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.899,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
