model,AUROC_mean,AUROC_lo,AUROC_hi,AUPRC_mean,AUPRC_lo,AUPRC_hi,Prec@R=0.95_mean,Prec@R=0.95_lo,Prec@R=0.95_hi,FP@R=0.95_mean,FP@R=0.95_lo,FP@R=0.95_hi
EffNetB0,0.9039341321170237,0.858794440544989,0.9379151018524126,0.452086016970091,0.34066327056525214,0.5842452448394984,0.13858997184909214,0.07621671258034894,0.22199798183652875,2159.953,1490.0,3041.5749999999994
TCSNet,0.9130438959131442,0.9013268386848117,0.9248079484947727,0.5635314797072144,0.45901906778324847,0.6511300414518166,0.11243578955046493,0.07640750670241286,0.15072237407262787,2620.834,2245.0,2890.0
VIPEEGNet,0.9440639408835221,0.9208133237321054,0.9605564576808285,0.6603266483536706,0.5458572148306353,0.7352204450084732,0.17283626085995843,0.0945945945945946,0.25224892562743173,1627.177,1209.0,2682.0
