model,n_missed,n_caught,mean_vote_share_missed,mean_vote_share_caught,delta,delta_ci_lo,delta_ci_hi,tau
TCSNet,13,241,0.4706652760505676,0.6166787147521973,0.14601343870162964,0.07507693171501159,0.21648956909775727,0.017815078608691696
VIPEEGNet,13,241,0.4372035562992096,0.6184836626052856,0.18128010630607605,0.12713622227311133,0.24070838242769238,0.08320651501417162
EffNetB0,18,330,0.4839419722557068,0.640148937702179,0.15620696544647217,0.09725660383701325,0.21647299006581303,0.07765099219977879
