model,target_recall,thr_mean,thr_std,thr_min,thr_max,prec_mean,prec_std,thr_max_over_min
EffNetB0,0.9,0.20815958678722377,0.14102282939042476,0.0685241296887397,0.4343090653419494,0.21720154083848736,0.13352725345695296,6.338045697402236
EffNetB0,0.95,0.10530349239706993,0.05765956251415388,0.0407128743827343,0.1992790102958679,0.16910192472552327,0.09808660260927966,4.894741855425935
EffNetB0,0.99,0.03796207793056962,0.017070818674159237,0.009463457390666,0.0519985146820545,0.11050296731101135,0.05292109763112633,5.49466358176259
TCSNet,0.9,0.02257781568914648,0.00770553476880058,0.0152372745797038,0.0349184311926364,0.1839075933414792,0.08411466760820643,2.291645465203344
TCSNet,0.95,0.013431306183338099,0.0027620098713398945,0.0110166268423199,0.0176043473184108,0.12057908763631635,0.0438959807400665,1.597979814545815
TCSNet,0.99,0.0067300933413207,0.0033790402310730394,0.0032273326069116,0.0123232118785381,0.07600992401003483,0.02674417686337846,3.818389171338251
VIPEEGNet,0.9,0.06232931204140182,0.03766297604893286,0.0185267198830842,0.1062043011188507,0.30210079353378777,0.1756557078650788,5.732493489892963
VIPEEGNet,0.95,0.02033819691278036,0.01445083121012999,0.0032557800877839,0.0418569594621658,0.17635491501587133,0.10729816538191612,12.85619984568934
VIPEEGNet,0.99,0.007773775607347438,0.006304548542112785,0.0013013838324695,0.0160366278141737,0.11289156312087416,0.05567416205361416,12.32275014800412
